FAD-0001.mpi40.out:Total Dipole Moment    :      1.36314      -0.39529      -0.15694
FAD-0002.mpi40.out:Total Dipole Moment    :      0.69077      -0.00310       0.14126
FAD-0003.mpi40.out:Total Dipole Moment    :      1.48121      -0.03862       0.05316
FAD-0004.mpi40.out:Total Dipole Moment    :     -1.07125      -0.12936       0.09005
FAD-0005.mpi40.out:Total Dipole Moment    :      0.90715      -0.25126      -0.12492
FAD-0006.mpi40.out:Total Dipole Moment    :     -0.41915      -0.47683       0.05466
FAD-0007.mpi40.out:Total Dipole Moment    :      1.59026      -0.50743      -0.33767
FAD-0008.mpi40.out:Total Dipole Moment    :      1.00944      -0.18947      -0.26992
FAD-0009.mpi40.out:Total Dipole Moment    :      0.40216      -0.27388      -0.15154
FAD-0010.mpi40.out:Total Dipole Moment    :     -0.83908      -0.04274      -0.25168
FAD-0011.mpi40.out:Total Dipole Moment    :      0.69352      -0.35825      -0.23423
FAD-0012.mpi40.out:Total Dipole Moment    :      0.61653       0.03186      -0.12214
FAD-0013.mpi40.out:Total Dipole Moment    :      1.49593      -0.25895      -0.30635
FAD-0014.mpi40.out:Total Dipole Moment    :      0.88748       0.17462      -0.09005
FAD-0015.mpi40.out:Total Dipole Moment    :      1.58910      -0.34235      -0.34823
FAD-0016.mpi40.out:Total Dipole Moment    :     -0.58472      -0.16805      -0.41746
FAD-0017.mpi40.out:Total Dipole Moment    :      0.72999      -0.03650      -0.13047
FAD-0018.mpi40.out:Total Dipole Moment    :      0.88400      -0.49177      -0.28305
FAD-0019.mpi40.out:Total Dipole Moment    :      1.02939      -0.30691      -0.33575
FAD-0020.mpi40.out:Total Dipole Moment    :     -1.31631       0.00350      -0.28486
FAD-0021.mpi40.out:Total Dipole Moment    :      0.64764       0.35379       0.05504
FAD-0022.mpi40.out:Total Dipole Moment    :      1.39768      -0.49993      -0.30162
FAD-0023.mpi40.out:Total Dipole Moment    :     -0.42409      -0.42025       0.26492
FAD-0024.mpi40.out:Total Dipole Moment    :      1.45756      -0.17073      -0.19341
FAD-0025.mpi40.out:Total Dipole Moment    :      0.51591      -0.13127      -0.29545
